user_id,rank,item_id,hit
1,1,318,0
1,2,286,0
1,3,357,0
1,4,117,0
1,5,69,0
1,6,300,0
1,7,313,0
1,8,427,0
1,9,474,0
1,10,423,0
2,1,50,1
2,2,174,0
2,3,172,0
2,4,98,0
2,5,181,0
2,6,56,0
2,7,258,0
2,8,64,0
2,9,12,0
2,10,168,0
3,1,50,0
3,2,100,0
3,3,174,0
3,4,172,0
3,5,127,0
3,6,98,0
3,7,1,0
3,8,56,0
3,9,258,0
3,10,64,0
4,1,50,1
4,2,100,0
4,3,174,0
4,4,172,0
4,5,127,0
4,6,98,0
4,7,1,0
4,8,181,0
4,9,56,0
4,10,64,0
5,1,127,0
5,2,98,0
5,3,1,1
5,4,56,0
5,5,258,0
5,6,168,0
5,7,64,0
5,8,96,0
5,9,210,0
5,10,12,0
6,1,172,0
6,2,98,1
6,3,181,0
6,4,79,0
6,5,96,0
6,6,603,0
6,7,22,0
6,8,204,0
6,9,423,0
6,10,286,0
7,1,181,0
7,2,1,0
7,3,479,1
7,4,176,0
7,5,202,0
7,6,515,0
7,7,478,0
7,8,70,0
7,9,269,0
7,10,143,0
8,1,50,1
8,2,100,0
8,3,98,0
8,4,1,0
8,5,64,0
8,6,168,0
8,7,96,0
8,8,12,0
8,9,22,1
8,10,79,1
9,1,174,0
9,2,100,0
9,3,172,0
9,4,127,0
9,5,98,0
9,6,1,0
9,7,181,0
9,8,56,0
9,9,258,0
9,10,64,0
10,1,100,1
10,2,172,0
10,3,181,0
10,4,79,0
10,5,427,0
10,6,89,0
10,7,318,0
10,8,96,0
10,9,204,0
10,10,210,0
11,1,50,0
11,2,174,0
11,3,172,0
11,4,127,0
11,5,98,0
11,6,1,0
11,7,181,0
11,8,168,0
11,9,64,0
11,10,96,0
12,1,100,0
12,2,172,1
12,3,1,0
12,4,181,0
12,5,56,0
12,6,258,0
12,7,64,0
12,8,96,1
12,9,12,0
12,10,210,0
13,1,98,1
13,2,56,1
13,3,357,0
13,4,1,0
13,5,79,0
13,6,318,0
13,7,185,0
13,8,191,0
13,9,210,0
13,10,479,0
14,1,174,1
14,2,127,0
14,3,98,0
14,4,1,0
14,5,64,0
14,6,79,0
14,7,89,0
14,8,22,0
14,9,258,0
14,10,318,0
15,1,100,0
15,2,174,0
15,3,127,0
15,4,172,0
15,5,1,0
15,6,98,0
15,7,258,0
15,8,56,0
15,9,117,0
15,10,64,0
16,1,50,0
16,2,181,0
16,3,64,1
16,4,210,0
16,5,89,0
16,6,258,0
16,7,173,0
16,8,185,0
16,9,176,0
16,10,117,0
17,1,50,0
17,2,174,0
17,3,172,0
17,4,127,0
17,5,98,0
17,6,1,1
17,7,181,0
17,8,56,0
17,9,258,0
17,10,64,0
18,1,172,0
18,2,168,0
18,3,185,0
18,4,511,0
18,5,89,0
18,6,135,0
18,7,194,0
18,8,199,0
18,9,181,0
18,10,96,0
19,1,50,0
19,2,100,0
19,3,174,0
19,4,172,0
19,5,127,0
19,6,98,0
19,7,1,0
19,8,181,0
19,9,56,0
19,10,258,1
20,1,50,0
20,2,100,0
20,3,172,0
20,4,127,0
20,5,98,0
20,6,1,0
20,7,56,0
20,8,258,0
20,9,64,0
20,10,96,0
21,1,50,0
21,2,174,0
21,3,172,0
21,4,181,0
21,5,64,0
21,6,12,0
21,7,168,0
21,8,96,0
21,9,210,0
21,10,22,0
22,1,100,0
22,2,98,0
22,3,1,0
22,4,56,0
22,5,64,0
22,6,210,0
22,7,258,1
22,8,22,0
22,9,12,0
22,10,79,1
23,1,127,0
23,2,172,1
23,3,168,0
23,4,64,0
23,5,12,0
23,6,22,0
23,7,258,1
23,8,210,0
23,9,318,0
23,10,357,0
24,1,50,0
24,2,174,0
24,3,172,0
24,4,1,0
24,5,181,0
24,6,64,1
24,7,168,0
24,8,96,0
24,9,210,0
24,10,22,0
25,1,100,0
25,2,172,0
25,3,127,0
25,4,181,1
25,5,56,0
25,6,64,0
25,7,168,0
25,8,96,0
25,9,12,0
25,10,22,0
26,1,174,0
26,2,172,0
26,3,98,0
26,4,1,0
26,5,56,0
26,6,258,0
26,7,64,0
26,8,168,0
26,9,12,0
26,10,96,0
27,1,50,0
27,2,174,0
27,3,172,0
27,4,127,0
27,5,98,0
27,6,1,0
27,7,181,0
27,8,56,0
27,9,258,0
27,10,64,0
28,1,172,0
28,2,127,0
28,3,98,1
28,4,1,0
28,5,181,0
28,6,64,0
28,7,210,0
28,8,168,0
28,9,22,0
28,10,79,1
29,1,50,0
29,2,100,0
29,3,174,0
29,4,172,0
29,5,127,0
29,6,98,1
29,7,1,0
29,8,181,0
29,9,56,0
29,10,258,0
30,1,50,0
30,2,100,0
30,3,127,0
30,4,98,0
30,5,1,0
30,6,181,1
30,7,56,0
30,8,64,0
30,9,168,0
30,10,96,0
31,1,50,0
31,2,100,0
31,3,174,0
31,4,127,0
31,5,172,0
31,6,98,0
31,7,1,0
31,8,56,0
31,9,181,0
31,10,258,0
32,1,100,0
32,2,174,0
32,3,172,0
32,4,127,0
32,5,98,0
32,6,1,0
32,7,56,0
32,8,258,0
32,9,64,0
32,10,168,0
33,1,50,0
33,2,100,0
33,3,174,0
33,4,172,0
33,5,127,0
33,6,98,0
33,7,1,0
33,8,181,0
33,9,56,0
33,10,258,1
34,1,50,0
34,2,100,0
34,3,174,0
34,4,127,0
34,5,172,0
34,6,98,0
34,7,1,0
34,8,56,0
34,9,181,0
34,10,258,0
35,1,50,0
35,2,100,0
35,3,174,0
35,4,172,0
35,5,127,0
35,6,98,0
35,7,1,0
35,8,181,0
35,9,56,0
35,10,258,0
36,1,50,0
36,2,100,0
36,3,174,0
36,4,172,0
36,5,127,0
36,6,98,0
36,7,1,0
36,8,181,0
36,9,56,0
36,10,258,0
37,1,100,0
37,2,98,0
37,3,1,0
37,4,181,0
37,5,56,1
37,6,258,0
37,7,64,0
37,8,168,0
37,9,12,0
37,10,117,1
38,1,50,0
38,2,174,0
38,3,100,0
38,4,172,0
38,5,181,0
38,6,98,0
38,7,127,0
38,8,258,0
38,9,56,0
38,10,117,0
39,1,50,0
39,2,100,0
39,3,174,0
39,4,172,0
39,5,127,0
39,6,98,0
39,7,1,0
39,8,181,0
39,9,56,0
39,10,258,1
40,1,50,0
40,2,100,0
40,3,174,0
40,4,172,0
40,5,127,0
40,6,98,0
40,7,1,0
40,8,181,0
40,9,56,0
40,10,258,0
41,1,172,0
41,2,127,0
41,3,98,1
41,4,64,0
41,5,12,0
41,6,258,0
41,7,22,0
41,8,79,0
41,9,89,0
41,10,210,0
42,1,100,0
42,2,127,0
42,3,56,0
42,4,258,0
42,5,117,0
42,6,22,0
42,7,96,1
42,8,168,0
42,9,300,0
42,10,89,0
43,1,22,0
43,2,96,0
43,3,89,0
43,4,204,1
43,5,176,0
43,6,357,0
43,7,185,0
43,8,288,0
43,9,655,0
43,10,151,1
44,1,127,0
44,2,98,0
