user_id,rank,item_id,hit
1,1,285,0
1,2,408,0
1,3,357,0
1,4,318,0
1,5,474,0
1,6,483,0
1,7,302,0
1,8,603,0
1,9,475,0
1,10,654,0
2,1,64,0
2,2,169,0
2,3,318,0
2,4,603,0
2,5,408,0
2,6,114,0
2,7,483,0
2,8,12,0
2,9,480,0
2,10,357,0
3,1,169,0
3,2,603,0
3,3,408,0
3,4,114,0
3,5,12,0
3,6,64,0
3,7,480,0
3,8,483,0
3,9,479,0
3,10,285,0
4,1,12,0
4,2,45,0
4,3,48,0
4,4,50,1
4,5,56,0
4,6,57,0
4,7,59,0
4,8,64,0
4,9,83,0
4,10,89,0
5,1,12,0
5,2,285,0
5,3,56,0
5,4,64,0
5,5,127,0
5,6,238,0
5,7,114,0
5,8,179,0
5,9,134,0
5,10,603,0
6,1,603,0
6,2,114,0
6,3,179,0
6,4,654,0
6,5,657,0
6,6,23,1
6,7,641,0
6,8,1449,0
6,9,661,0
6,10,647,0
7,1,169,0
7,2,408,0
7,3,114,0
7,4,313,0
7,5,479,1
7,6,302,0
7,7,272,0
7,8,1449,0
7,9,316,0
7,10,963,0
8,1,64,0
8,2,50,1
8,3,318,0
8,4,169,0
8,5,12,0
8,6,408,0
8,7,603,0
8,8,114,0
8,9,100,0
8,10,357,0
9,1,64,0
9,2,318,0
9,3,169,0
9,4,603,0
9,5,12,0
9,6,408,0
9,7,114,0
9,8,174,0
9,9,480,0
9,10,479,1
10,1,169,0
10,2,318,0
10,3,114,0
10,4,408,0
10,5,313,0
10,6,427,0
10,7,316,0
10,8,272,0
10,9,1449,0
10,10,515,0
11,1,64,0
11,2,50,0
11,3,169,0
11,4,114,0
11,5,408,0
11,6,483,0
11,7,178,0
11,8,479,0
11,9,313,0
11,10,480,0
12,1,64,0
12,2,313,0
12,3,169,0
12,4,114,0
12,5,12,0
12,6,408,0
12,7,496,0
12,8,603,0
12,9,272,0
12,10,316,0
13,1,56,1
13,2,408,0
13,3,169,0
13,4,272,1
13,5,479,0
13,6,134,0
13,7,114,0
13,8,963,0
13,9,1449,0
13,10,513,0
14,1,169,0
14,2,64,0
14,3,114,0
14,4,357,0
14,5,480,0
14,6,318,0
14,7,479,0
14,8,483,0
14,9,199,0
14,10,134,0
15,1,318,0
15,2,64,0
15,3,174,0
15,4,313,0
15,5,496,0
15,6,603,0
15,7,480,0
15,8,169,0
15,9,357,0
15,10,114,0
16,1,50,0
16,2,64,1
16,3,114,0
16,4,169,0
16,5,181,0
16,6,313,0
16,7,408,0
16,8,272,0
16,9,483,0
16,10,316,0
17,1,169,0
17,2,50,0
17,3,12,0
17,4,408,0
17,5,64,0
17,6,603,0
17,7,318,0
17,8,114,0
17,9,483,0
17,10,285,0
18,1,408,1
18,2,114,0
18,3,657,0
18,4,1449,0
18,5,302,0
18,6,251,0
18,7,661,0
18,8,484,0
18,9,272,0
18,10,641,0
19,1,318,0
19,2,64,0
19,3,169,0
19,4,603,0
19,5,114,0
19,6,408,0
19,7,50,0
19,8,483,0
19,9,12,0
19,10,480,0
20,1,313,0
20,2,64,0
20,3,169,0
20,4,114,0
20,5,318,0
20,6,408,0
20,7,603,0
20,8,316,0
20,9,272,0
20,10,657,0
21,1,474,0
21,2,285,0
21,3,134,0
21,4,475,0
21,5,238,0
21,6,179,0
21,7,12,0
21,8,169,0
21,9,603,0
21,10,357,0
22,1,12,0
22,2,64,0
22,3,318,0
22,4,408,0
22,5,169,0
22,6,56,0
22,7,114,0
22,8,357,0
22,9,100,0
22,10,603,0
23,1,169,0
23,2,285,0
23,3,114,0
23,4,474,0
23,5,12,0
23,6,515,0
23,7,64,0
23,8,178,0
23,9,657,0
23,10,654,0
24,1,50,0
24,2,64,1
24,3,114,0
24,4,169,0
24,5,285,0
24,6,408,0
24,7,480,0
24,8,483,0
24,9,603,0
24,10,515,0
25,1,64,0
25,2,318,0
25,3,313,0
25,4,12,0
25,5,603,0
25,6,272,0
25,7,483,0
25,8,316,0
25,9,172,0
25,10,496,0
26,1,64,0
26,2,318,0
26,3,169,0
26,4,12,0
26,5,603,0
26,6,408,0
26,7,357,0
26,8,114,0
26,9,480,0
26,10,483,0
27,1,64,0
27,2,169,0
27,3,318,0
27,4,603,0
27,5,408,0
27,6,114,0
27,7,12,0
27,8,483,0
27,9,480,0
27,10,479,0
28,1,64,0
28,2,169,0
28,3,408,0
28,4,318,0
28,5,114,0
28,6,357,0
28,7,127,0
28,8,483,0
28,9,285,0
28,10,172,0
29,1,64,0
29,2,50,0
29,3,169,0
29,4,318,0
29,5,603,0
29,6,408,0
29,7,114,0
29,8,483,0
29,9,479,0
29,10,178,0
30,1,169,0
30,2,64,0
30,3,318,0
30,4,603,0
30,5,114,0
30,6,408,0
30,7,483,0
30,8,480,0
30,9,12,0
30,10,178,0
31,1,169,0
31,2,603,0
31,3,408,0
31,4,114,0
31,5,64,0
31,6,318,0
31,7,12,0
31,8,285,0
31,9,483,0
31,10,480,0
32,1,64,0
32,2,318,0
32,3,169,0
32,4,603,0
32,5,12,0
32,6,114,0
32,7,483,0
32,8,480,0
32,9,357,0
32,10,479,0
33,1,64,0
33,2,318,0
33,3,169,0
33,4,603,0
33,5,408,0
33,6,114,0
33,7,12,0
33,8,50,0
33,9,483,0
33,10,480,0
34,1,169,0
34,2,408,0
34,3,603,0
34,4,114,0
34,5,12,0
34,6,64,0
34,7,285,0
34,8,318,0
34,9,483,0
34,10,127,0
35,1,64,0
35,2,318,0
35,3,169,0
35,4,603,0
35,5,114,0
35,6,408,0
35,7,313,0
35,8,50,0
35,9,480,0
35,10,483,0
36,1,12,0
36,2,50,0
36,3,64,0
36,4,98,0
36,5,114,0
36,6,127,0
36,7,134,0
36,8,169,0
36,9,174,0
36,10,178,0
37,1,169,0
37,2,64,0
37,3,408,0
37,4,603,0
37,5,114,0
37,6,318,0
37,7,12,0
37,8,483,0
37,9,480,0
37,10,515,0
38,1,64,0
38,2,143,0
38,3,300,0
38,4,496,0
38,5,282,0
38,6,265,0
38,7,328,1
38,8,272,0
38,9,520,0
38,10,117,0
39,1,64,0
39,2,318,0
39,3,50,0
39,4,169,0
39,5,603,0
39,6,114,0
39,7,12,0
39,8,408,0
39,9,174,0
39,10,313,1
40,1,64,0
40,2,318,0
40,3,50,0
40,4,169,0
40,5,603,0
40,6,313,0
40,7,114,0
40,8,408,0
40,9,174,0
40,10,12,0
41,1,169,0
41,2,408,0
41,3,603,0
41,4,114,0
41,5,12,0
41,6,285,0
41,7,64,0
41,8,480,0
41,9,483,0
41,10,479,0
42,1,313,0
42,2,22,0
42,3,96,1
42,4,328,0
42,5,117,0
42,6,300,0
42,7,520,0
42,8,316,0
42,9,272,0
42,10,257,0
43,1,22,0
43,2,603,0
43,3,520,0
43,4,515,0
43,5,657,0
43,6,265,0
43,7,83,0
43,8,483,0
43,9,178,0
43,10,194,0
44,1,12,0
44,2,169,0
44,3,408,0
44,4,114,0
44,5,483,0
44,6,272,0
44,7,479,0
44,8,199,0
44,9,316,0
44,10,285,0
45,1,64,0
45,2,318,0
45,3,169,0
45,4,408,0
45,5,603,0
45,6,114,0
45,7,12,0
45,8,483,0
45,9,480,0
45,10,313,0
46,1,64,0
46,2,318,0
46,3,169,0
46,4,603,0
46,5,408,0
46,6,114,0
46,7,12,0
46,8,483,0
46,9,480,0
46,10,178,0
47,1,169,0
47,2,64,0
47,3,408,0
47,4,603,0
47,5,318,0
47,6,114,0
47,7,12,0
47,8,50,0
47,9,483,0
47,10,480,0
48,1,64,0
48,2,174,1
48,3,318,0
48,4,12,0
48,5,169,0
48,6,603,1
48,7,408,0
48,8,114,0
48,9,313,0
48,10,127,0
49,1,474,0
49,2,285,0
49,3,654,0
49,4,137,0
49,5,134,0
49,6,340,0
49,7,9,0
49,8,408,0
49,9,169,0
49,10,60,0
50,1,318,0
50,2,64,0
50,3,603,0
50,4,169,0
50,5,114,0
50,6,408,0
50,7,50,0
50,8,483,0
50,9,12,0
50,10,480,0
51,1,64,1
51,2,174,0
51,3,12,0
51,4,318,0
51,5,169,0
51,6,408,0
51,7,114,0
51,8,313,0
51,9,603,0
51,10,272,0
52,1,12,0
52,2,50,0
52,3,64,0
52,4,98,0
52,5,114,0
52,6,127,0
52,7,169,0
52,8,178,0
52,9,199,0
52,10,272,0
53,1,318,0
53,2,169,0
53,3,603,0
53,4,114,0
53,5,408,0
53,6,480,0
53,7,313,0
53,8,12,0
53,9,483,0
53,10,178,0
54,1,64,0
54,2,318,0
54,3,169,0
54,4,114,0
54,5,603,0
54,6,408,0
54,7,12,0
54,8,483,0
54,9,480,0
54,10,313,1
55,1,64,0
55,2,318,0
55,3,169,0
55,4,603,0
55,5,114,0
55,6,408,0
55,7,12,0
55,8,313,0
55,9,480,0
55,10,483,0
56,1,318,0
56,2,313,0
56,3,496,0
56,4,12,0
56,5,357,0
56,6,603,0
56,7,480,0
56,8,427,0
56,9,272,0
56,10,316,0
57,1,174,0
57,2,313,0
57,3,169,0
57,4,114,0
57,5,603,0
57,6,12,0
57,7,408,0
57,8,98,0
57,9,172,0
57,10,483,0
58,1,285,0
58,2,179,0
58,3,173,1
58,4,114,0
58,5,515,0
58,6,657,0
58,7,641,0
58,8,154,0
58,9,9,1
58,10,513,0
59,1,302,0
59,2,408,0
59,3,475,0
59,4,23,1
59,5,114,0
59,6,156,0
59,7,223,0
59,8,124,0
59,9,178,0
59,10,192,0
60,1,169,0
60,2,408,0
60,3,318,0
60,4,114,0
60,5,285,0
60,6,657,0
60,7,100,0
60,8,127,0
60,9,1449,0
60,10,316,0
61,1,64,0
61,2,318,0
61,3,169,0
61,4,114,0
61,5,603,0
61,6,50,0
61,7,408,0
61,8,313,0
61,9,483,0
61,10,12,0
62,1,12,1
62,2,408,0
62,3,169,0
62,4,603,0
62,5,480,0
62,6,187,0
62,7,479,0
62,8,23,0
62,9,156,0
62,10,654,0
63,1,169,0
63,2,603,0
63,3,12,0
63,4,50,1
63,5,114,0
63,6,318,0
63,7,64,0
63,8,474,0
63,9,127,0
63,10,483,0
64,1,169,0
64,2,408,0
64,3,114,0
64,4,357,0
64,5,285,0
64,6,483,0
64,7,302,0
64,8,479,0
64,9,272,0
64,10,178,0
65,1,313,0
65,2,174,0
65,3,496,0
65,4,169,0
65,5,114,0
65,6,603,0
65,7,408,0
65,8,316,0
65,9,480,0
65,10,272,0
66,1,64,0
66,2,318,0
66,3,174,0
66,4,169,0
66,5,603,0
66,6,313,0
66,7,114,0
66,8,12,0
66,9,408,0
66,10,480,0
67,1,50,0
67,2,64,1
67,3,169,0
67,4,318,0
67,5,408,0
67,6,12,0
67,7,603,0
67,8,114,0
67,9,174,0
67,10,313,0
68,1,12,0
68,2,100,0
68,3,408,0
68,4,285,0
68,5,169,0
68,6,64,0
68,7,56,0
68,8,603,0
68,9,318,0
68,10,474,0
69,1,127,0
69,2,318,0
69,3,357,0
69,4,12,1
69,5,603,0
69,6,64,0
69,7,56,1
69,8,169,0
69,9,134,0
69,10,408,0
70,1,50,1
70,2,64,0
70,3,318,0
70,4,12,0
70,5,603,0
70,6,114,0
70,7,480,0
70,8,357,0
70,9,98,0
70,10,479,0
71,1,169,0
71,2,603,0
71,3,318,0
71,4,114,0
71,5,408,0
71,6,483,0
71,7,480,0
71,8,178,0
71,9,479,0
71,10,515,0
72,1,483,0
72,2,169,0
72,3,178,0
72,4,114,0
72,5,657,0
72,6,513,0
72,7,408,0
72,8,474,0
72,9,923,0
72,10,488,0
73,1,169,0
73,2,56,1
73,3,134,0
73,4,408,0
73,5,127,1
73,6,603,0
73,7,12,1
73,8,654,0
73,9,114,0
73,10,475,1
74,1,64,0
74,2,318,0
74,3,50,0
74,4,169,0
74,5,603,0
74,6,408,0
74,7,114,0
74,8,12,0
74,9,174,0
74,10,480,0
75,1,50,0
75,2,12,0
75,3,127,0
75,4,169,0
75,5,285,0
75,6,64,0
75,7,603,0
75,8,474,0
75,9,134,0
75,10,357,0
76,1,127,0
76,2,169,0
76,3,285,0
76,4,408,0
76,5,134,0
76,6,114,0
76,7,483,0
76,8,100,1
76,9,480,0
76,10,357,0
77,1,169,0
77,2,408,0
77,3,168,1
77,4,12,0
77,5,114,0
77,6,603,0
77,7,285,0
77,8,64,0
77,9,515,0
77,10,474,1
78,1,318,0
78,2,64,0
78,3,50,0
78,4,169,0
78,5,603,0
78,6,114,0
78,7,408,0
78,8,12,0
78,9,483,0
78,10,174,0
79,1,318,0
79,2,64,0
79,3,169,0
79,4,50,1
79,5,603,0
79,6,408,0
79,7,114,0
79,8,12,0
79,9,483,0
79,10,178,0
80,1,318,0
80,2,50,0
80,3,169,0
80,4,114,0
80,5,12,0
80,6,603,0
80,7,408,0
80,8,174,0
80,9,313,0
80,10,480,0
81,1,50,0
81,2,64,0
81,3,169,1
81,4,174,0
81,5,12,0
81,6,114,0
81,7,603,0
81,8,313,0
81,9,408,0
81,10,483,0
82,1,12,0
82,2,313,0
82,3,172,0
82,4,114,0
82,5,408,0
82,6,98,0
82,7,272,0
82,8,427,0
82,9,316,0
82,10,515,0
83,1,313,0
83,2,282,0
83,3,496,0
83,4,318,0
83,5,328,0
83,6,210,1
83,7,96,0
83,8,222,0
83,9,272,0
83,10,316,0
84,1,169,0
84,2,114,0
84,3,603,0
84,4,50,0
84,5,12,1
84,6,483,0
84,7,480,0
84,8,178,0
84,9,313,0
84,10,272,0
85,1,603,0
85,2,114,0
85,3,408,0
85,4,169,0
85,5,178,0
85,6,12,0
85,7,427,0
85,8,285,0
85,9,1449,0
85,10,185,0
86,1,318,0
86,2,64,0
86,3,603,0
86,4,169,0
86,5,114,0
86,6,408,0
86,7,50,0
86,8,12,0
86,9,480,0
86,10,483,0
87,1,313,0
87,2,210,1
87,3,12,0
87,4,69,0
87,5,173,0
87,6,265,0
87,7,272,0
87,8,169,0
87,9,316,0
87,10,98,0
88,1,64,0
88,2,169,0
88,3,318,0
88,4,408,0
88,5,603,0
88,6,114,0
88,7,12,0
88,8,50,0
88,9,483,0
88,10,480,0
89,1,64,0
89,2,169,0
89,3,408,0
89,4,12,0
89,5,114,0
89,6,603,0
89,7,318,0
89,8,480,0
89,9,199,0
89,10,479,0
90,1,114,0
90,2,169,0
90,3,408,0
90,4,513,0
90,5,1449,0
90,6,641,0
90,7,98,1
90,8,50,0
90,9,251,0
90,10,484,0
91,1,169,0
91,2,12,0
91,3,114,0
91,4,172,1
91,5,408,0
91,6,272,0
91,7,496,0
91,8,96,0
91,9,316,0
91,10,480,1
92,1,127,0
92,2,357,0
92,3,285,0
92,4,603,0
92,5,114,0
92,6,480,0
92,7,302,0
92,8,483,0
92,9,172,1
92,10,479,0
93,1,318,0
93,2,64,0
93,3,50,0
93,4,169,0
93,5,603,0
93,6,114,0
93,7,408,0
93,8,483,0
93,9,12,0
93,10,480,0
94,1,14,0
94,2,137,0
94,3,169,0
94,4,285,0
94,5,408,0
94,6,276,0
94,7,114,0
94,8,124,0
94,9,515,0
94,10,178,0
95,1,172,1
95,2,318,0
95,3,12,0
95,4,313,0
95,5,258,0
95,6,114,0
95,7,408,0
95,8,169,0
95,9,272,0
95,10,603,0
96,1,357,0
96,2,12,0
96,3,603,0
96,4,169,0
96,5,480,0
96,6,114,0
96,7,408,0
96,8,427,0
96,9,479,1
96,10,178,0
97,1,50,1
97,2,64,0
97,3,318,0
97,4,12,0
97,5,114,0
97,6,480,0
97,7,483,0
97,8,127,0
97,9,178,0
97,10,479,0
98,1,318,0
98,2,603,0
98,3,64,0
98,4,480,0
98,5,169,0
98,6,357,0
98,7,483,0
98,8,114,0
98,9,178,0
98,10,408,0
99,1,50,1
99,2,318,0
99,3,169,0
99,4,408,0
99,5,603,0
99,6,114,0
99,7,127,0
99,8,357,0
99,9,480,0
99,10,483,0
100,1,64,0
100,2,318,0
100,3,50,0
100,4,169,0
100,5,174,0
100,6,114,0
