user_id,rank,item_id,hit
1,1,1654,0
1,2,171,1
1,3,318,0
1,4,483,0
1,5,603,0
1,6,302,0
1,7,462,0
1,8,430,0
1,9,189,0
1,10,1525,0
2,1,1542,0
2,2,1619,0
2,3,1064,0
2,4,1452,0
2,5,1458,0
2,6,1398,0
2,7,1463,0
2,8,1599,0
2,9,197,0
2,10,481,0
3,1,1080,0
3,2,1187,0
3,3,1368,0
3,4,1492,0
3,5,1498,0
3,6,1630,0
3,7,1632,0
3,8,1633,0
3,9,1635,0
3,10,1636,0
4,1,13,0
4,2,14,0
4,3,41,0
4,4,59,0
4,5,60,0
4,6,152,0
4,7,256,0
4,8,276,0
4,9,285,0
4,10,416,0
5,1,1309,0
5,2,1310,0
5,3,1191,0
5,4,1536,0
5,5,1240,0
5,6,1506,0
5,7,1158,0
5,8,114,0
5,9,919,0
5,10,652,0
6,1,661,0
6,2,603,0
6,3,657,0
6,4,615,0
6,5,604,0
6,6,656,0
6,7,654,0
6,8,517,1
6,9,705,0
6,10,1524,0
7,1,467,0
7,2,963,0
7,3,124,0
7,4,58,0
7,5,684,0
7,6,735,0
7,7,648,1
7,8,408,0
7,9,87,0
7,10,209,0
8,1,1235,0
8,2,1476,0
8,3,1520,0
8,4,1618,0
8,5,1599,0
8,6,1452,0
8,7,1458,0
8,8,1463,0
8,9,1593,0
8,10,1131,0
9,1,27,0
9,2,35,0
9,3,336,0
9,4,375,0
9,5,719,0
9,6,738,0
9,7,929,0
9,8,940,0
9,9,957,0
9,10,990,0
10,1,427,0
10,2,504,1
10,3,187,0
10,4,100,1
10,5,644,0
10,6,177,0
10,7,136,0
10,8,318,0
10,9,506,0
10,10,443,0
11,1,1236,0
11,2,1624,0
11,3,1654,0
11,4,1606,0
11,5,1293,0
11,6,1602,0
11,7,1122,0
11,8,1662,0
11,9,1667,0
11,10,1668,0
12,1,598,0
12,2,1026,0
12,3,1156,0
12,4,1234,0
12,5,1320,0
12,6,1325,0
12,7,1329,0
12,8,1339,0
12,9,1340,0
12,10,1341,0
13,1,963,0
13,2,408,0
13,3,192,0
13,4,134,0
13,5,968,0
13,6,701,0
13,7,171,0
13,8,1506,0
13,9,1656,0
13,10,1448,0
14,1,1309,0
14,2,1310,0
14,3,1525,0
14,4,1655,0
14,5,1515,0
14,6,1263,0
14,7,734,0
14,8,801,0
14,9,1270,0
14,10,8,0
15,1,1236,0
15,2,1306,0
15,3,1546,0
15,4,1548,0
15,5,1557,0
15,6,1559,0
15,7,1561,0
15,8,1562,0
15,9,1563,0
15,10,1564,0
16,1,1601,0
16,2,313,0
16,3,1526,0
16,4,265,0
16,5,181,0
16,6,50,0
16,7,215,0
16,8,176,0
16,9,185,0
16,10,378,0
17,1,1621,0
17,2,1614,0
17,3,1304,0
17,4,1605,0
17,5,1380,0
17,6,1506,0
17,7,1144,0
17,8,1589,0
17,9,770,0
17,10,1547,0
18,1,1235,0
18,2,1236,0
18,3,1432,0
18,4,1613,0
18,5,1617,0
18,6,1625,0
18,7,1654,0
18,8,1663,0
18,9,1665,0
18,10,1666,0
19,1,1186,0
19,2,1304,0
19,3,1452,0
19,4,1458,0
19,5,1463,0
19,6,600,0
19,7,1087,0
19,8,1158,0
19,9,1204,0
19,10,1125,0
20,1,1306,0
20,2,1307,0
20,3,1308,0
20,4,1429,0
20,5,1546,0
20,6,1548,0
20,7,1556,0
20,8,1557,0
20,9,1559,0
20,10,1561,0
21,1,1536,0
21,2,1158,0
21,3,1524,0
21,4,1506,0
21,5,1201,0
21,6,134,0
21,7,180,0
21,8,479,0
21,9,23,0
21,10,89,0
22,1,1613,0
22,2,603,0
22,3,198,0
22,4,479,0
22,5,480,0
22,6,1251,0
22,7,246,0
22,8,56,0
22,9,302,0
22,10,357,0
23,1,1678,0
23,2,1679,0
23,3,1680,0
23,4,1323,0
23,5,1156,0
23,6,1344,0
23,7,1191,0
23,8,1354,0
23,9,137,0
23,10,169,0
24,1,1663,0
24,2,1665,0
24,3,1666,0
24,4,1669,0
24,5,1652,0
24,6,1327,0
24,7,1417,0
24,8,1169,0
24,9,1122,0
24,10,1642,0
25,1,1309,0
25,2,1310,0
25,3,1354,0
25,4,1096,0
25,5,1347,0
25,6,1481,0
25,7,1308,0
25,8,1606,0
25,9,723,0
25,10,583,0
26,1,197,0
26,2,1550,0
26,3,1064,0
26,4,1306,0
26,5,1546,0
26,6,1548,0
26,7,1557,0
26,8,1559,0
26,9,1561,0
26,10,1562,0
27,1,1491,0
27,2,1492,0
27,3,1498,0
27,4,1533,0
27,5,1542,0
27,6,1246,0
27,7,1629,0
27,8,765,0
27,9,1062,0
27,10,662,0
28,1,1293,0
28,2,1472,0
28,3,1156,0
28,4,1155,0
28,5,1450,0
28,6,1654,0
28,7,1606,0
28,8,119,0
28,9,113,0
28,10,1671,0
29,1,1122,0
29,2,600,0
29,3,1141,0
29,4,1614,0
29,5,1452,0
29,6,1458,0
29,7,1344,0
29,8,1673,0
29,9,246,0
29,10,1616,0
30,1,1156,0
30,2,1201,0
30,3,1654,0
30,4,1449,0
30,5,1125,0
30,6,1193,0
30,7,1155,0
30,8,1104,0
30,9,1064,0
30,10,488,0
31,1,1122,0
31,2,1156,0
31,3,1614,0
31,4,1626,0
31,5,1673,0
31,6,1430,0
31,7,1433,0
31,8,1432,0
31,9,862,0
31,10,1416,0
32,1,1604,0
32,2,1547,0
32,3,1526,0
32,4,1328,0
32,5,1282,0
32,6,1612,0
32,7,1148,0
32,8,1361,0
32,9,1616,0
32,10,42,0
33,1,7,0
33,2,12,0
33,3,50,0
33,4,51,0
33,5,59,0
33,6,61,0
33,7,64,0
33,8,75,0
33,9,92,0
33,10,131,0
34,1,23,0
34,2,32,0
34,3,45,0
34,4,48,0
34,5,51,0
34,6,52,0
34,7,60,0
34,8,87,0
34,9,89,0
34,10,92,0
35,1,1674,0
35,2,1406,0
35,3,1600,0
35,4,286,0
35,5,611,0
35,6,242,0
35,7,645,0
35,8,1149,0
35,9,1101,0
35,10,1601,0
36,1,30,0
36,2,93,0
36,3,124,0
36,4,131,0
36,5,133,0
36,6,209,0
36,7,236,0
36,8,303,0
36,9,337,0
36,10,342,0
37,1,1612,0
37,2,1599,0
37,3,1452,0
37,4,1458,0
37,5,1463,0
37,6,1431,0
37,7,523,0
37,8,663,0
37,9,606,0
37,10,519,0
38,1,1127,0
38,2,1235,0
38,3,1236,0
38,4,1293,0
38,5,1309,0
38,6,1310,0
38,7,1433,0
38,8,1601,0
38,9,1618,0
38,10,1671,0
39,1,104,0
39,2,359,0
39,3,397,0
39,4,461,0
39,5,734,0
39,6,766,0
39,7,856,0
39,8,973,0
39,9,981,0
39,10,1008,0
40,1,1467,0
40,2,1505,0
40,3,1533,0
40,4,1536,0
40,5,1618,0
40,6,634,0
40,7,1535,0
40,8,1158,0
40,9,1499,0
40,10,1424,0
41,1,1122,0
41,2,263,0
41,3,1661,0
41,4,1056,0
41,5,374,0
41,6,1536,0
41,7,533,0
41,8,984,0
41,9,1248,0
41,10,1158,0
42,1,1662,0
42,2,1667,0
42,3,1668,0
42,4,1670,0
42,5,1618,0
42,6,22,0
42,7,96,1
42,8,8,0
42,9,423,1
42,10,520,0
43,1,1625,0
43,2,515,0
43,3,205,0
43,4,483,0
43,5,203,1
43,6,57,0
43,7,165,0
43,8,89,0
43,9,194,0
43,10,96,0
44,1,1654,0
44,2,1658,0
44,3,1332,0
44,4,1122,0
44,5,705,0
44,6,435,0
44,7,177,0
44,8,189,0
44,9,199,0
44,10,1240,0
45,1,711,0
45,2,1064,0
45,3,1201,0
45,4,1431,0
45,5,1452,0
45,6,1458,0
45,7,1463,0
45,8,1536,0
45,9,1556,0
45,10,1573,0
46,1,1104,0
46,2,1236,0
46,3,1353,0
46,4,1354,0
46,5,1619,0
46,6,1652,0
46,7,1663,0
46,8,1665,0
46,9,1666,0
46,10,1669,0
47,1,1536,0
47,2,771,0
47,3,1502,0
47,4,1506,0
47,5,1158,0
47,6,1274,0
47,7,30,0
47,8,644,0
47,9,1496,0
47,10,792,0
48,1,1657,0
48,2,1144,0
48,3,1130,0
48,4,1630,0
48,5,1632,0
48,6,1633,0
48,7,1635,0
48,8,1636,0
48,9,1637,0
48,10,1638,0
49,1,1122,0
49,2,525,0
49,3,425,0
49,4,59,0
49,5,656,0
49,6,512,0
49,7,1449,0
49,8,589,0
49,9,505,0
49,10,1149,0
50,1,2,0
50,2,263,0
50,3,576,0
50,4,719,0
50,5,892,0
50,6,898,0
50,7,1029,0
50,8,1096,0
50,9,1104,0
50,10,1206,0
51,1,355,0
51,2,599,0
51,3,677,0
51,4,681,0
51,5,695,0
51,6,869,0
51,7,938,0
51,8,990,0
51,9,994,0
51,10,1025,0
52,1,599,0
52,2,677,0
52,3,1122,0
52,4,1175,0
52,5,1235,0
52,6,1293,0
52,7,1306,0
52,8,1429,0
52,9,1464,0
52,10,1546,0
53,1,1257,0
53,2,1541,0
53,3,1543,0
53,4,1396,0
53,5,505,0
53,6,345,0
53,7,1332,0
53,8,1064,0
53,9,1452,0
53,10,1458,0
54,1,1573,0
54,2,1430,0
54,3,1431,0
54,4,483,0
54,5,1593,0
54,6,1201,0
54,7,1497,0
54,8,1659,0
54,9,1660,0
54,10,14,0
55,1,36,0
55,2,131,0
55,3,149,0
55,4,345,0
55,5,359,0
55,6,360,0
55,7,374,0
55,8,387,0
55,9,460,0
