user_id,rank,item_id,hit
1,1,408,0
1,2,169,0
1,3,114,0
1,4,318,0
1,5,64,0
1,6,483,0
1,7,12,0
1,8,603,0
1,9,178,0
1,10,513,0
2,1,408,0
2,2,169,0
2,3,318,0
2,4,114,0
2,5,64,0
2,6,483,0
2,7,12,0
2,8,603,0
2,9,178,0
2,10,513,0
3,1,408,0
3,2,169,0
3,3,114,0
3,4,318,0
3,5,64,0
3,6,483,0
3,7,12,0
3,8,603,0
3,9,178,0
3,10,513,0
4,1,408,0
4,2,169,0
4,3,114,0
4,4,318,0
4,5,64,0
4,6,483,0
4,7,12,0
4,8,603,0
4,9,178,0
4,10,513,0
5,1,408,0
5,2,169,0
5,3,318,0
5,4,114,0
5,5,64,0
5,6,483,0
5,7,12,0
5,8,603,0
5,9,178,0
5,10,513,0
6,1,408,0
6,2,169,0
6,3,114,0
6,4,318,0
6,5,64,0
6,6,483,0
6,7,12,0
6,8,603,0
6,9,178,0
6,10,513,0
7,1,408,0
7,2,169,0
7,3,318,0
7,4,64,0
7,5,114,0
7,6,483,0
7,7,12,0
7,8,603,0
7,9,178,0
7,10,427,0
8,1,408,0
8,2,169,0
8,3,114,0
8,4,318,0
8,5,64,0
8,6,483,0
8,7,12,0
8,8,603,0
8,9,178,0
8,10,513,0
9,1,408,0
9,2,169,0
9,3,318,0
9,4,114,0
9,5,64,0
9,6,483,0
9,7,12,0
9,8,603,0
9,9,178,0
9,10,513,0
10,1,408,0
10,2,169,0
10,3,114,0
10,4,318,0
10,5,64,0
10,6,483,0
10,7,12,0
10,8,603,0
10,9,178,0
10,10,513,0
11,1,408,0
11,2,169,0
11,3,318,0
11,4,114,0
11,5,64,0
11,6,483,0
11,7,12,0
11,8,603,0
11,9,178,0
11,10,513,0
12,1,408,0
12,2,114,0
12,3,169,0
12,4,318,0
12,5,64,0
12,6,483,0
12,7,12,0
12,8,603,0
12,9,178,0
12,10,513,0
13,1,408,0
13,2,64,0
13,3,169,0
13,4,114,0
13,5,318,0
13,6,483,0
13,7,12,0
13,8,603,0
13,9,50,0
13,10,427,0
14,1,408,0
14,2,169,0
14,3,114,0
14,4,318,0
14,5,64,0
14,6,483,0
14,7,12,0
14,8,603,0
14,9,178,0
14,10,513,0
15,1,408,0
15,2,169,0
15,3,114,0
15,4,318,0
15,5,64,0
15,6,483,0
15,7,12,0
15,8,603,0
15,9,178,0
15,10,513,0
16,1,408,0
16,2,169,0
16,3,64,1
16,4,318,0
16,5,114,0
16,6,483,0
16,7,12,0
16,8,603,0
16,9,178,1
16,10,513,0
17,1,408,0
17,2,169,0
17,3,114,0
17,4,318,0
17,5,64,0
17,6,483,0
17,7,12,0
17,8,603,0
17,9,178,0
17,10,513,0
18,1,408,1
18,2,169,0
18,3,114,0
18,4,318,0
18,5,64,0
18,6,483,0
18,7,12,0
18,8,603,0
18,9,178,0
18,10,513,0
19,1,408,0
19,2,169,0
19,3,114,0
19,4,318,0
19,5,64,0
19,6,483,0
19,7,12,0
19,8,603,0
19,9,178,0
19,10,513,0
20,1,408,0
