user_id,rank,item_id,hit
1,1,814,0
1,2,1463,0
1,3,1536,0
1,4,1500,0
1,5,1467,0
1,6,1599,0
1,7,851,0
1,8,1449,0
1,9,1642,0
1,10,1662,0
2,1,814,0
2,2,1491,0
2,3,1536,0
2,4,1467,0
2,5,1643,0
2,6,1599,0
2,7,1500,0
2,8,1642,0
2,9,1449,0
2,10,1293,0
3,1,1643,0
3,2,1449,0
3,3,1368,0
3,4,1491,0
3,5,1467,0
3,6,1500,0
3,7,1347,0
3,8,1599,0
3,9,868,0
3,10,1143,0
4,1,1368,0
4,2,1463,0
4,3,1177,0
4,4,1242,0
4,5,1367,0
4,6,1536,0
4,7,1431,0
4,8,1499,0
4,9,1529,0
4,10,899,0
5,1,814,0
5,2,1463,0
5,3,1233,0
5,4,1536,0
5,5,851,0
5,6,1467,0
5,7,1500,0
5,8,1629,0
5,9,1599,0
5,10,1449,0
6,1,814,0
6,2,1463,0
6,3,1491,0
6,4,1536,0
6,5,1643,0
6,6,1467,0
6,7,1599,0
6,8,1500,0
6,9,1431,0
6,10,1398,0
7,1,814,0
7,2,1463,0
7,3,1536,0
7,4,1467,0
7,5,1500,0
7,6,1599,0
7,7,1643,0
7,8,1662,0
7,9,868,0
7,10,1642,0
8,1,814,0
8,2,1463,0
8,3,1554,0
8,4,1467,0
8,5,1629,0
8,6,1449,0
8,7,1500,0
8,8,1367,0
8,9,1662,0
8,10,50,1
9,1,1643,0
9,2,814,0
9,3,868,0
9,4,1463,0
9,5,1368,0
9,6,1598,0
9,7,1347,0
9,8,1599,0
9,9,1500,0
9,10,1367,0
10,1,814,0
10,2,1463,0
10,3,1536,0
10,4,1643,0
10,5,1467,0
10,6,1599,0
10,7,1080,0
10,8,1293,0
10,9,1500,0
10,10,1242,0
11,1,814,0
11,2,1463,0
11,3,1500,0
11,4,1536,0
11,5,1642,0
11,6,1467,0
11,7,1398,0
11,8,1554,0
11,9,1662,0
11,10,1431,0
12,1,1554,0
12,2,814,0
12,3,1158,0
12,4,1524,0
12,5,1536,0
12,6,1467,0
12,7,1427,0
12,8,1628,0
12,9,1642,0
12,10,1599,0
13,1,1463,0
13,2,1242,0
13,3,1536,0
13,4,1467,0
13,5,1599,0
13,6,1367,0
13,7,1368,0
13,8,1293,0
13,9,1500,0
13,10,1449,0
14,1,814,0
14,2,1367,0
14,3,1536,0
14,4,1233,0
14,5,1431,0
14,6,1347,0
14,7,1599,0
14,8,1500,0
14,9,1449,0
14,10,1398,0
15,1,814,0
15,2,1233,0
15,3,1467,0
15,4,1599,0
15,5,1500,0
15,6,1463,0
15,7,1512,0
15,8,1449,0
15,9,1642,0
15,10,1398,0
16,1,814,0
16,2,1463,0
16,3,1368,0
16,4,1467,0
16,5,1242,0
16,6,1599,0
16,7,50,0
16,8,1643,0
16,9,1293,0
16,10,1500,0
17,1,814,0
17,2,1500,0
17,3,1536,0
17,4,1467,0
17,5,1599,0
17,6,1449,0
17,7,1558,0
17,8,1642,0
17,9,1463,0
17,10,1344,0
18,1,1643,0
18,2,814,0
18,3,1491,0
18,4,1500,0
18,5,1536,0
18,6,1463,0
18,7,851,0
18,8,1599,0
18,9,1467,0
18,10,1642,0
19,1,814,0
19,2,1597,0
19,3,1491,0
19,4,1536,0
19,5,851,0
19,6,1062,0
19,7,1629,0
19,8,1463,0
19,9,1158,0
19,10,1499,0
20,1,1233,0
20,2,1449,0
20,3,814,0
20,4,851,0
20,5,1639,0
20,6,1467,0
20,7,1427,0
20,8,867,0
20,9,1599,0
20,10,1175,0
21,1,814,0
21,2,1463,0
21,3,1500,0
21,4,1536,0
21,5,1467,0
21,6,1599,0
21,7,272,0
21,8,1449,0
21,9,1662,0
21,10,64,0
22,1,814,0
22,2,1554,0
22,3,1449,0
22,4,1467,0
22,5,1233,0
22,6,1599,0
22,7,1629,0
22,8,868,0
22,9,1500,0
22,10,1347,0
23,1,814,0
23,2,1491,0
23,3,1536,0
23,4,851,0
23,5,1463,0
23,6,1500,0
23,7,1629,0
23,8,1467,0
23,9,1599,0
23,10,1233,0
24,1,814,0
24,2,1643,0
24,3,1536,0
24,4,1467,0
24,5,1599,0
24,6,1449,0
24,7,1293,0
